query,intent,sentiment,detected_intent,detected_sentiment,summary
who can i contact about location inquiry,location_inquiry,neutral,location_inquiry,neutral,User wants to know who to contact about location inquiry
transportation complaint constantly lets me down,transportation_complaint,negative,transportation_complaint,negative,The transportation service constantly disappoints or frustrates me.
payment inquiry is simply amazing and very reliable,payment_inquiry,positive,payment_inquiry,positive,Expressing satisfaction and reliability regarding payment inquiry
where can i learn about complaint,complaint,neutral,complaint_management,neutral,The user is seeking information about complaining or filing a complaint.
facility feedback constantly lets me down,facility_feedback,negative,facility_feedback,negative,The facility is not meeting expectations and causing disappointment.
technical feedback was a complete disaster and waste of time,technical_feedback,negative,technical_feedback,negative,Negative feedback about technical support
what does complaint involve,complaint,neutral,procedural_inquiry,neutral,The user wants to know what a complaint involves
i would not recommend schedule inquiry to anyone,schedule_inquiry,negative,express_opinion,negative,User expresses dissatisfaction and does not recommend schedule inquiry
how do i proceed with environment complaint,environment_complaint,neutral,environment_complaint,neutral,Requesting guidance on filing an environment-related complaint
id like to understand more about travel review,travel_review,neutral,travel_review,neutral,User wants to understand more about travel reviews
who can i contact about facility feedback,facility_feedback,neutral,facility_feedback,neutral,Request for feedback on facilities
what does service feedback involve,service_feedback,neutral,service_feedback,neutral,Asking about service feedback process
facility feedback has been a fantastic experience overall,facility_feedback,positive,facility_feedback,positive,Excellent experience
kudos to the team behind health complaint,health_complaint,positive,express_gratitude,positive,Expressing gratitude to the team behind health complaint
how do i proceed with financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,Request for financial inquiry
i need more information regarding delivery status,delivery_status,neutral,delivery_status,neutral,Customer seeks information about delivery status
service complaint was a complete disaster and waste of time,service_complaint,negative,service_complaint,negative,"The customer had a terrible experience with the service, describing it as a complete disaster and waste of time."
whats the process for service inquiry,service_inquiry,neutral,service_inquiry,neutral,Customer wants to know the process for submitting a service inquiry
im very satisfied with the results of business inquiry,business_inquiry,positive,business_inquiry,positive,Customer expresses satisfaction with business inquiry results
whats the process for business inquiry,business_inquiry,neutral,business_inquiry,neutral,The user wants to know the process for making a business inquiry.
i absolutely love how food review works for me,food_review,positive,express_praise,positive,Expressing satisfaction with food review service
im extremely disappointed with payment inquiry,payment_inquiry,negative,payment_inquiry,negative,Payment inquiry with negative sentiment
how do i proceed with technical support,technical_support,neutral,technical_support,neutral,User seeks technical assistance or guidance
im extremely disappointed with accommodation complaint,accommodation_complaint,negative,accommodation_complaint,negative,Disappointed customer with accommodation issue
id like to understand more about travel complaint,travel_complaint,neutral,travel_complaint,neutral,User wants to understand more about travel complaints
i couldnt be happier with policy inquiry,policy_inquiry,positive,policy_inquiry,positive,Expressing satisfaction with policy inquiry
i absolutely love how business inquiry works for me,business_inquiry,positive,express_appreciation,positive,Expressing gratitude for business inquiry
what does shipping inquiry involve,shipping_inquiry,neutral,schedule_inquiry,neutral,Inquiring about shipping details or process
rewards feedback failed to meet even the basic expectations,rewards_feedback,negative,rewards_feedback,negative,Rewards failed to meet basic expectations
really appreciate how efficient policy complaint has been,policy_complaint,positive,express_appreciation,positive,Appreciative feedback on efficient policy complaint process
technical feedback has been a fantastic experience overall,technical_feedback,positive,technical_feedback,positive,A positive technical feedback experience
the quality of financial complaint is outstanding,financial_complaint,positive,financial_complaint,positive,The financial services are excellent
service feedback did not work as advertised,service_feedback,negative,service_feedback,negative,Disappointment with service
product feedback was a complete disaster and waste of time,product_feedback,negative,product_feedback,negative,Product feedback was negative and disappointing
can you provide details about event review,event_review,neutral,event_review,neutral,Request for details about an event review
kudos to the team behind product feedback,product_feedback,positive,express_praise,positive,Expressing appreciation for the product feedback team
i couldnt be happier with schedule inquiry,schedule_inquiry,positive,schedule_inquiry,positive,Customer expresses satisfaction with schedule inquiry process.
whats the process for technical complaint,technical_complaint,neutral,technical_support,neutral,Requesting information about technical complaint process
using business inquiry was a frustrating experience,business_inquiry,negative,business_inquiry,negative,The user had a negative experience with their business inquiry
process complaint has been a fantastic experience overall,process_complaint,positive,process_complaint,positive,Positive feedback about a process complaint experience
kudos to the team behind travel review,travel_review,positive,express_appreciation,positive,Appreciative comment about travel review
the quality of policy complaint is outstanding,policy_complaint,positive,policy_feedback,positive,express praise for policy
how do i proceed with service feedback,service_feedback,neutral,service_feedback,neutral,Requesting guidance on submitting service feedback
transportation complaint has been a fantastic experience overall,transportation_complaint,positive,transportation_complaint,positive,Overall satisfaction with transportation experience
the quality of service feedback is outstanding,service_feedback,positive,service_feedback,positive,Customer satisfaction with service
service complaint did not work as advertised,service_complaint,negative,service_complaint,negative,Service did not meet expectations
im extremely disappointed with job inquiry,job_inquiry,negative,job_inquiry,negative,Job inquiry was unsuccessful or unsatisfactory
kudos to the team behind transportation complaint,transportation_complaint,positive,express_appreciation,positive,Expressing gratitude to the team
what does billing complaint involve,billing_complaint,neutral,financial_inquiry,neutral,The user wants to know what billing complaint entails
i couldnt be happier with procedural inquiry,procedural_inquiry,positive,express_appreciation,positive,The user is expressing their satisfaction and happiness with the procedural inquiry process.
whats the process for procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,Request for information about procedures
really appreciate how efficient technical support has been,technical_support,positive,express_appreciation,positive,Thank customer support for their help
can you provide details about order inquiry,order_inquiry,neutral,order_inquiry,neutral,Request for order information
is there a manual or guide for rewards feedback,rewards_feedback,neutral,rewards_feedback,neutral,Request for rewards feedback manual or guide
business inquiry was a complete disaster and waste of time,business_inquiry,negative,business_inquiry,negative,Disappointing experience with business inquiry
i would not recommend policy inquiry to anyone,policy_inquiry,negative,express_opinion,negative,Disapproval of policy inquiry
job inquiry is simply amazing and very reliable,job_inquiry,positive,job_inquiry,positive,Expresses enthusiasm for job inquiry
service review was a complete disaster and waste of time,service_review,negative,service_complaint,negative,Service review was a failure
process complaint was a complete disaster and waste of time,process_complaint,negative,process_complaint,negative,A frustrating experience due to a process issue.
kudos to the team behind procedural inquiry,procedural_inquiry,positive,express_appreciation,positive,Expressing gratitude and praise for the procedural inquiry team
is there a manual or guide for facility feedback,facility_feedback,neutral,facility_feedback,neutral,Requesting information about facility feedback process
event review has made my life much easier and better,event_review,positive,event_review,positive,The event review has had a positive impact on the user's life.
i would not recommend product complaint to anyone,product_complaint,negative,product_complaint,negative,The customer is unhappy with their product and would not recommend it to others.
my experience with service review was terrible,service_review,negative,service_review,negative,Bad experience with service review
using account inquiry was a frustrating experience,account_inquiry,negative,account_inquiry,negative,Experience with account inquiry was frustrating
business inquiry failed to meet even the basic expectations,business_inquiry,negative,business_inquiry,negative,Business inquiry did not meet expectations
i couldnt be happier with service inquiry,service_inquiry,positive,service_inquiry,positive,Customer expresses satisfaction with service
where can i learn about service complaint,service_complaint,neutral,service_inquiry,neutral,The user wants to know more about service complaints.
i couldnt be happier with customer experience,customer_experience,positive,express_satisfaction,positive,Customer satisfaction
could you explain how technical support works,technical_support,neutral,technical_support,neutral,Request for information about technical support process
the quality of transportation complaint is outstanding,transportation_complaint,positive,transportation_complaint,positive,Transportation quality is excellent
travel complaint has been a fantastic experience overall,travel_complaint,positive,travel_complaint,positive,Travel complaint has been satisfactory
how do i proceed with location inquiry,location_inquiry,neutral,location_inquiry,neutral,Request for location inquiry process guidance
who can i contact about health complaint,health_complaint,neutral,health_complaint,neutral,Contacting someone about a health issue
shipping inquiry has so many issues i regret using it,shipping_inquiry,negative,shipping_inquiry,negative,Regretful experience with shipping
i would not recommend appointment management to anyone,appointment_management,negative,appointment_management,negative,Unhappy with appointment management experience
complaint constantly lets me down,complaint,negative,complaint,negative,The customer is unhappy with their experience and feels that it consistently lets them down.
financial inquiry failed to meet even the basic expectations,financial_inquiry,negative,financial_inquiry,negative,Financial inquiry did not meet expectations
policy feedback is simply amazing and very reliable,policy_feedback,positive,policy_feedback,positive,"The user is expressing a positive opinion about a policy, highlighting its reliability and amazingness."
i absolutely love how environment complaint works for me,environment_complaint,positive,express_appreciation,positive,Expressing gratitude for a positive experience with environment complaint
im extremely disappointed with billing complaint,billing_complaint,negative,complaint,negative,Billing issue dissatisfaction
im very satisfied with the results of accommodation complaint,accommodation_complaint,positive,accommodation_complaint,positive,Customer is satisfied with their accommodation experience
i absolutely love how billing complaint works for me,billing_complaint,positive,express_praise,positive,Customer praises billing process
healthcare feedback failed to meet even the basic expectations,healthcare_feedback,negative,healthcare_feedback,negative,Failed to meet basic expectations
really appreciate how efficient financial complaint has been,financial_complaint,positive,express_appreciation,positive,Express gratitude for efficient financial complaint resolution
my experience with product inquiry was terrible,product_inquiry,negative,product_inquiry,negative,Customer had a bad experience with product inquiry
accommodation complaint has so many issues i regret using it,accommodation_complaint,negative,accommodation_complaint,negative,The customer regrets their experience with an accommodation provider due to numerous issues.
what does environment complaint involve,environment_complaint,neutral,environment_complaint,neutral,Inquiry about environmental complaint process
what does delivery status involve,delivery_status,neutral,delivery_status,neutral,Inquiry about delivery status details
product inquiry constantly lets me down,product_inquiry,negative,product_inquiry,negative,The customer has had a bad experience with the product inquiry process.
booking complaint has so many issues i regret using it,booking_complaint,negative,booking_complaint,negative,The user regrets booking and has many issues
i absolutely love how customer experience works for me,customer_experience,positive,express_appreciation,positive,Expressing enthusiasm for customer experience
id like to understand more about account inquiry,account_inquiry,neutral,account_inquiry,neutral,User wants to understand more about account inquiry process
policy complaint is simply amazing and very reliable,policy_complaint,positive,express_opinion,positive,The policy complaint process is impressive and trustworthy
id like to understand more about service inquiry,service_inquiry,neutral,service_inquiry,neutral,User wants to learn more about service inquiry
environment complaint is simply amazing and very reliable,environment_complaint,positive,environment_complaint,positive,"Complaint about environmental issue, praising its reliability"
im extremely disappointed with healthcare feedback,healthcare_feedback,negative,healthcare_feedback,negative,The user is expressing disappointment with their healthcare feedback
entertainment review did not work as advertised,entertainment_review,negative,entertainment_review,negative,Disappointment with entertainment product or service
can you provide details about entertainment review,entertainment_review,neutral,entertainment_review,neutral,Request for information about entertainment review
customer experience has been a fantastic experience overall,customer_experience,positive,express_satisfaction,positive,The customer's overall experience was excellent.
my experience with community feedback was terrible,community_feedback,negative,community_feedback,negative,Terrible community feedback experience
how do i proceed with policy feedback,policy_feedback,neutral,policy_feedback,neutral,Requesting guidance on providing feedback for a policy
could you explain how health complaint works,health_complaint,neutral,health_inquiry,neutral,Request for information about health complaint process
order inquiry did not work as advertised,order_inquiry,negative,order_inquiry,negative,Order inquiry was unsuccessful
id like to understand more about product inquiry,product_inquiry,neutral,product_inquiry,neutral,The user wants to learn more about a product.
could you explain how schedule inquiry works,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for information about scheduling
who can i contact about complaint,complaint,neutral,complaint,negative,Contacting someone to complain
could you explain how technical complaint works,technical_complaint,neutral,technical_support,neutral,Request for technical assistance
really appreciate how efficient customer experience has been,customer_experience,positive,express_gratitude,positive,Express gratitude for efficient customer experience
really appreciate how efficient transportation complaint has been,transportation_complaint,positive,transportation_complaint,positive,Express appreciation for efficient transportation service
food review has made my life much easier and better,food_review,positive,express_appreciation,positive,Expresses gratitude for making life easier and better
whats the process for product complaint,product_complaint,neutral,product_complaint,neutral,Query about complaining about a product
i absolutely love how account inquiry works for me,account_inquiry,positive,express_appreciation,positive,Customer expressing appreciation for account inquiry service
can you provide details about customer experience,customer_experience,neutral,customer_experience,neutral,Request for information about customer experiences
order inquiry has been a fantastic experience overall,order_inquiry,positive,order_inquiry,positive,Order inquiry has been a positive experience
kudos to the team behind order inquiry,order_inquiry,positive,express_appreciation,positive,Expressing gratitude for order inquiry
im extremely disappointed with rewards feedback,rewards_feedback,negative,rewards_feedback,negative,Unhappy customer experience
im very satisfied with the results of product complaint,product_complaint,positive,product_complaint,positive,Customer satisfied with product complaint outcome
financial inquiry has made my life much easier and better,financial_inquiry,positive,express_opinion,positive,The user expresses positive sentiment about how financial inquiry has improved their life.
id like to understand more about location inquiry,location_inquiry,neutral,location_inquiry,neutral,The user wants to learn more about location inquiry
i need more information regarding travel complaint,travel_complaint,neutral,travel_complaint,neutral,Request for information about travel issues
whats the process for facility feedback,facility_feedback,neutral,facility_feedback,neutral,Requesting information about the process for providing feedback on a facility
i couldnt be happier with environment complaint,environment_complaint,positive,environment_complaint,positive,Customer expresses satisfaction with environmental issue
booking complaint is simply amazing and very reliable,booking_complaint,positive,booking_complaint,positive,Booking experience was satisfactory
whats the process for billing complaint,billing_complaint,neutral,billing_complaint,neutral,The user wants to know how to file a billing complaint
whats the process for product feedback,product_feedback,neutral,product_feedback,neutral,inquiry about providing feedback on a product
i need more information regarding food review,food_review,neutral,product_inquiry,neutral,Request for more information about food
id like to understand more about service complaint,service_complaint,neutral,service_complaint,neutral,The user wants to understand more about filing a service complaint.
the quality of health inquiry is outstanding,health_inquiry,positive,health_inquiry,positive,expressing satisfaction with health inquiry quality
how do i proceed with policy complaint,policy_complaint,neutral,policy_complaint,neutral,Customer seeking guidance on how to proceed with a policy complaint
i need more information regarding health inquiry,health_inquiry,neutral,health_inquiry,neutral,Request for information about health-related matters
whats the process for booking complaint,booking_complaint,neutral,booking_complaint,neutral,Inquiring about the process for reporting issues with a booking
accommodation complaint exceeded all of my expectations,accommodation_complaint,positive,accommodation_complaint,positive,The accommodation exceeded expectations
can you provide details about shipping inquiry,shipping_inquiry,neutral,shipping_inquiry,neutral,Request for information about shipping
can you provide details about location inquiry,location_inquiry,neutral,location_inquiry,neutral,Request for location inquiry details
educational feedback constantly lets me down,educational_feedback,negative,educational_feedback,negative,Disappointment with educational feedback
where can i learn about service feedback,service_feedback,neutral,service_feedback,neutral,Requesting information about providing feedback on services
job inquiry failed to meet even the basic expectations,job_inquiry,negative,job_inquiry,negative,Job inquiry didn't meet basic expectations
how do i proceed with customer experience,customer_experience,neutral,customer_experience,neutral,query about improving or assessing customer experience
could you explain how entertainment review works,entertainment_review,neutral,entertainment_review,neutral,Request for explanation of entertainment review process
is there a manual or guide for healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Request for healthcare feedback guidance
my experience with product feedback was terrible,product_feedback,negative,product_feedback,negative,The user had a bad experience with providing feedback on a product.
what does event review involve,event_review,neutral,event_review,neutral,Asking about the process or nature of an event review
food review exceeded all of my expectations,food_review,positive,entertainment_review,positive,Overall positive experience
policy feedback exceeded all of my expectations,policy_feedback,positive,policy_feedback,positive,Policy exceeded expectations
can you provide details about service review,service_review,neutral,service_review,neutral,Request for information about a service review
job inquiry caused a lot of problems for me,job_inquiry,negative,job_inquiry,negative,Job inquiry causing issues
financial inquiry was a complete disaster and waste of time,financial_inquiry,negative,financial_inquiry,negative,Financial inquiry was frustrating and unproductive.
my experience with environment complaint was terrible,environment_complaint,negative,environment_complaint,negative,The user had a poor experience with an environmental complaint
kudos to the team behind policy feedback,policy_feedback,positive,express_praise,positive,Expressing appreciation for a team's effort
product inquiry caused a lot of problems for me,product_inquiry,negative,product_inquiry,negative,Product inquiry caused problems for the user
i absolutely love how facility feedback works for me,facility_feedback,positive,express_praise,positive,Expressing enthusiasm and admiration for facility feedback
what does technical complaint involve,technical_complaint,neutral,technical_complaint,neutral,Inquiring about technical complaint process or issues
service complaint has been a fantastic experience overall,service_complaint,positive,service_complaint,positive,Satisfied with service experience
entertainment review constantly lets me down,entertainment_review,negative,entertainment_review,negative,The user is expressing disappointment with their entertainment experience.
booking complaint failed to meet even the basic expectations,booking_complaint,negative,booking_complaint,negative,Booking did not meet basic expectations
could you explain how procedural inquiry works,procedural_inquiry,neutral,procedural_inquiry,neutral,The user is asking for an explanation about how procedural inquiry works
using entertainment review was a frustrating experience,entertainment_review,negative,entertainment_review,negative,Negative review of an entertainment experience
technical feedback has made my life much easier and better,technical_feedback,positive,technical_feedback,positive,The user has had a positive experience with technical feedback
kudos to the team behind technical support,technical_support,positive,express_appreciation,positive,Expressing gratitude to the technical support team
service complaint caused a lot of problems for me,service_complaint,negative,complaint,negative,Customer experienced issues with service
who can i contact about financial complaint,financial_complaint,neutral,financial_complaint,negative,Contact information for financial complaint
schedule inquiry has so many issues i regret using it,schedule_inquiry,negative,appointment_management,negative,User regrets using the schedule inquiry service due to numerous issues.
shipping inquiry was a complete disaster and waste of time,shipping_inquiry,negative,shipping_inquiry,negative,Disappointing experience with shipping inquiry
is there a manual or guide for entertainment review,entertainment_review,neutral,entertainment_review,neutral,Requesting information or guidance for entertainment review
im extremely disappointed with community feedback,community_feedback,negative,community_feedback,negative,Customer is unhappy with community feedback
i couldnt be happier with warranty inquiry,warranty_inquiry,positive,warranty_inquiry,positive,Customer expresses satisfaction with warranty inquiry process
entertainment review has been a fantastic experience overall,entertainment_review,positive,entertainment_review,positive,Overall positive entertainment experience
my experience with product complaint was terrible,product_complaint,negative,product_complaint,negative,The customer had a negative experience with a product
how do i proceed with product inquiry,product_inquiry,neutral,product_inquiry,neutral,Inquiring about product details
where can i learn about health inquiry,health_inquiry,neutral,health_inquiry,neutral,The user wants to learn about health inquiry
using customer experience was a frustrating experience,customer_experience,negative,customer_experience,negative,Frustrating customer experience
im extremely disappointed with location inquiry,location_inquiry,negative,location_inquiry,negative,The user is unhappy with their location inquiry.
accommodation complaint was a complete disaster and waste of time,accommodation_complaint,negative,accommodation_complaint,negative,Poor experience with accommodation
who can i contact about food review,food_review,neutral,food_review,neutral,Request for contacting someone about a food review
where can i learn about technical complaint,technical_complaint,neutral,technical_complaint,neutral,Seeking information about technical complaint
i would not recommend procedural inquiry to anyone,procedural_inquiry,negative,express_opinion,negative,Negative review of procedural inquiry
what does rewards feedback involve,rewards_feedback,neutral,rewards_feedback,neutral,Inquiry about rewards feedback process
i absolutely love how job inquiry works for me,job_inquiry,positive,express_appreciation,positive,The user expresses enthusiasm and satisfaction with job inquiry services.
process complaint has so many issues i regret using it,process_complaint,negative,process_complaint,negative,The user is unhappy with a process and regrets using it.
technical complaint did not work as advertised,technical_complaint,negative,technical_complaint,negative,The product or service did not meet expectations
where can i learn about delivery status,delivery_status,neutral,delivery_status,neutral,Customer inquiry about tracking order status
procedural inquiry failed to meet even the basic expectations,procedural_inquiry,negative,procedural_inquiry,negative,Failed to meet expectations
job inquiry has so many issues i regret using it,job_inquiry,negative,job_inquiry,negative,Job inquiry dissatisfaction due to numerous issues
i would not recommend service inquiry to anyone,service_inquiry,negative,service_complaint,negative,Negative review of service
i couldnt be happier with location inquiry,location_inquiry,positive,location_inquiry,positive,The user expresses enthusiasm and satisfaction with their location inquiry
i would not recommend financial inquiry to anyone,financial_inquiry,negative,express_opinion,negative,Negative review or warning
policy complaint was a complete disaster and waste of time,policy_complaint,negative,policy_complaint,negative,Policy complaint was frustrating and unproductive
what does service inquiry involve,service_inquiry,neutral,service_inquiry,neutral,Customer wants to know more about service inquiry process
healthcare feedback is simply amazing and very reliable,healthcare_feedback,positive,healthcare_feedback,positive,Feedback about healthcare experience
appointment management is simply amazing and very reliable,appointment_management,positive,appointment_management,positive,The user is expressing admiration for appointment management services.
my experience with complaint was terrible,complaint,negative,complaint,negative,The user had a terrible experience
technical feedback is simply amazing and very reliable,technical_feedback,positive,technical_feedback,positive,Customer expressing satisfaction with technical feedback
location inquiry caused a lot of problems for me,location_inquiry,negative,location_inquiry,negative,Location inquiry caused issues
kudos to the team behind policy inquiry,policy_inquiry,positive,express_appreciation,positive,Appreciative feedback for a policy inquiry team
where can i learn about entertainment review,entertainment_review,neutral,entertainment_review,neutral,The user wants to learn about entertainment reviews
who can i contact about billing complaint,billing_complaint,neutral,billing_complaint,neutral,Customer inquiry about billing issue
customer experience was a complete disaster and waste of time,customer_experience,negative,customer_experience,negative,Customer experience was bad
can you provide details about environment complaint,environment_complaint,neutral,environment_complaint,neutral,Request for details about environment complaint
the quality of rewards feedback is outstanding,rewards_feedback,positive,express_praise,positive,Customer praises the quality of rewards feedback
i would not recommend healthcare feedback to anyone,healthcare_feedback,negative,healthcare_feedback,negative,Negative experience with healthcare feedback
food review did not work as advertised,food_review,negative,food_review,negative,Unsatisfactory dining experience
schedule inquiry constantly lets me down,schedule_inquiry,negative,schedule_inquiry,negative,Schedule inquiries are unreliable
kudos to the team behind delivery status,delivery_status,positive,express_appreciation,positive,Expressing gratitude for a team's work
payment inquiry was a complete disaster and waste of time,payment_inquiry,negative,payment_inquiry,negative,Payment inquiry failed and was frustrating
i need more information regarding job inquiry,job_inquiry,neutral,job_inquiry,neutral,Request for job-related information
can you provide details about product complaint,product_complaint,neutral,product_complaint,neutral,Request for information about product complaints
im extremely disappointed with entertainment review,entertainment_review,negative,entertainment_review,negative,The user is unhappy with an entertainment review.
i need more information regarding billing complaint,billing_complaint,neutral,billing_complaint,neutral,Request for information on billing issue
payment inquiry failed to meet even the basic expectations,payment_inquiry,negative,payment_inquiry,negative,Payment inquiry failed to meet basic expectations
im very satisfied with the results of financial complaint,financial_complaint,positive,financial_inquiry,positive,Customer is satisfied with their financial complaint experience
im extremely disappointed with educational feedback,educational_feedback,negative,educational_feedback,negative,Disappointed with educational feedback
product feedback caused a lot of problems for me,product_feedback,negative,product_feedback,negative,Disgruntled customer experience
im very satisfied with the results of booking complaint,booking_complaint,positive,booking_complaint,positive,The user is pleased with their booking experience
really appreciate how efficient service complaint has been,service_complaint,positive,express_appreciation,positive,Appreciative customer feedback on efficient service
travel complaint did not work as advertised,travel_complaint,negative,travel_complaint,negative,Disappointment with travel arrangements not meeting expectations
im extremely disappointed with product feedback,product_feedback,negative,product_feedback,negative,Customer is unhappy with their experience
process complaint exceeded all of my expectations,process_complaint,positive,express_satisfaction,positive,Customer satisfaction
my experience with travel complaint was terrible,travel_complaint,negative,travel_complaint,negative,Unpleasant experience related to travel
is there a manual or guide for complaint,complaint,neutral,process_complaint,neutral,Request for guidance on filing a complaint
im extremely disappointed with shipping inquiry,shipping_inquiry,negative,shipping_inquiry,negative,Customer is unhappy with shipping experience
account inquiry constantly lets me down,account_inquiry,negative,account_inquiry,negative,The user is expressing dissatisfaction with their account inquiry process.
job inquiry has made my life much easier and better,job_inquiry,positive,express_appreciation,positive,The user expresses gratitude for a service that has improved their life.
using food review was a frustrating experience,food_review,negative,review,negative,The user had a bad experience using the food review feature.
booking complaint constantly lets me down,booking_complaint,negative,booking_complaint,negative,Booking process has consistently failed to meet expectations
kudos to the team behind educational feedback,educational_feedback,positive,express_praise,positive,Expressing gratitude and admiration for an educational feedback
i couldnt be happier with product inquiry,product_inquiry,positive,product_inquiry,positive,Customer is satisfied with the product inquiry process
how do i proceed with educational feedback,educational_feedback,neutral,educational_feedback,neutral,Seeking guidance on providing educational feedback
where can i learn about health complaint,health_complaint,neutral,health_inquiry,neutral,Asking about learning resources for health complaints
entertainment review failed to meet even the basic expectations,entertainment_review,negative,entertainment_review,negative,Failed to meet basic expectations
account inquiry exceeded all of my expectations,account_inquiry,positive,account_inquiry,positive,Customer satisfaction with account inquiry
where can i learn about warranty inquiry,warranty_inquiry,neutral,warranty_inquiry,neutral,Learning about warranty inquiry
service feedback is simply amazing and very reliable,service_feedback,positive,service_feedback,positive,Praise for service reliability
my experience with travel review was terrible,travel_review,negative,travel_review,negative,The user had a poor experience with their travel review
i absolutely love how accommodation complaint works for me,accommodation_complaint,positive,express_appreciation,positive,Expresses gratitude for a positive experience with accommodation complaint process
is there a manual or guide for technical support,technical_support,neutral,technical_support,neutral,Requesting technical support resources or documentation
i would not recommend facility feedback to anyone,facility_feedback,negative,express_opinion,negative,Not satisfied
educational feedback is simply amazing and very reliable,educational_feedback,positive,educational_feedback,positive,Expressing appreciation for educational feedback
delivery status failed to meet even the basic expectations,delivery_status,negative,delivery_status,negative,Delivery did not meet expectations
process complaint constantly lets me down,process_complaint,negative,process_complaint,negative,Constantly frustrated with process issues
id like to understand more about booking complaint,booking_complaint,neutral,booking_complaint,neutral,User wants to understand more about booking complaints
im very satisfied with the results of transportation complaint,transportation_complaint,positive,transportation_complaint,positive,Customer satisfaction with resolution of transportation issue
product complaint was a complete disaster and waste of time,product_complaint,negative,product_complaint,negative,Product complaint was a complete disaster and waste of time
product inquiry exceeded all of my expectations,product_inquiry,positive,product_inquiry,positive,Product inquiry with positive sentiment
who can i contact about account inquiry,account_inquiry,neutral,account_inquiry,neutral,Inquiring about account information
i couldnt be happier with travel review,travel_review,positive,travel_review,positive,express_satisfaction
product complaint failed to meet even the basic expectations,product_complaint,negative,product_complaint,negative,Failed to meet basic expectations
my experience with procedural inquiry was terrible,procedural_inquiry,negative,procedural_inquiry,negative,Negative experience with procedural inquiry
my experience with technical support was terrible,technical_support,negative,technical_complaint,negative,Bad experience with technical support
how do i proceed with product feedback,product_feedback,neutral,product_feedback,neutral,Request for providing feedback on a product
i would not recommend financial complaint to anyone,financial_complaint,negative,financial_complaint,negative,Unhappy customer experience
entertainment review has so many issues i regret using it,entertainment_review,negative,entertainment_review,negative,Disappointment with entertainment service due to numerous issues
id like to understand more about business inquiry,business_inquiry,neutral,business_inquiry,neutral,User wants to learn more about business inquiry process
could you explain how service complaint works,service_complaint,neutral,service_inquiry,neutral,Request for information about service complaint process
id like to understand more about transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,User wants to know more about transportation issues
technical support was a complete disaster and waste of time,technical_support,negative,technical_complaint,negative,Technical support was unsatisfactory and wasted time.
who can i contact about process complaint,process_complaint,neutral,process_complaint,neutral,Contact information for process complaint
how do i proceed with transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,The user wants to know how to proceed with a complaint related to transportation.
can you provide details about policy feedback,policy_feedback,neutral,policy_feedback,neutral,Request for information about policy feedback
i would not recommend community feedback to anyone,community_feedback,negative,express_opinion,negative,Not recommending community feedback
who can i contact about community feedback,community_feedback,neutral,community_feedback,neutral,Requesting contact information for community feedback
how do i proceed with financial complaint,financial_complaint,neutral,financial_complaint,neutral,The user wants to know how to proceed with a financial complaint.
accommodation complaint is simply amazing and very reliable,accommodation_complaint,positive,accommodation_complaint,positive,The accommodation is reliable and amazing.
can you provide details about payment inquiry,payment_inquiry,neutral,payment_inquiry,neutral,Request for payment details
what does policy complaint involve,policy_complaint,neutral,policy_inquiry,neutral,The user wants to know more about policy complaints.
job inquiry has been a fantastic experience overall,job_inquiry,positive,job_inquiry,positive,Positive job inquiry experience
kudos to the team behind service complaint,service_complaint,positive,express_appreciation,positive,Praises service
i need more information regarding service review,service_review,neutral,service_review,neutral,Request for more information about service review
food review was a complete disaster and waste of time,food_review,negative,food_review,negative,The food review was unsatisfactory and a waste of time.
my experience with facility feedback was terrible,facility_feedback,negative,facility_feedback,negative,Poor experience with facility feedback
product feedback has so many issues i regret using it,product_feedback,negative,product_feedback,negative,Product dissatisfaction due to numerous issues
what does booking complaint involve,booking_complaint,neutral,booking_complaint,neutral,Inquiry about booking process or issues
what does business inquiry involve,business_inquiry,neutral,business_inquiry,neutral,Request for information about a business
i would not recommend health complaint to anyone,health_complaint,negative,complaint,negative,Unhappy experience with a health complaint
id like to understand more about customer experience,customer_experience,neutral,customer_experience,neutral,Customer inquiry about understanding customer experience
really appreciate how efficient event review has been,event_review,positive,express_appreciation,positive,Appreciative of event review process
im very satisfied with the results of order inquiry,order_inquiry,positive,order_inquiry,positive,Satisfied with order inquiry results
using financial complaint was a frustrating experience,financial_complaint,negative,financial_complaint,negative,Frustrating experience with financial complaint
using process complaint was a frustrating experience,process_complaint,negative,process_complaint,negative,The user had a frustrating experience with a process-related complaint.
billing complaint has so many issues i regret using it,billing_complaint,negative,billing_complaint,negative,User has had a poor experience with billing and regrets using it.
using event review was a frustrating experience,event_review,negative,event_review,negative,The user had a bad experience with an event review
policy complaint failed to meet even the basic expectations,policy_complaint,negative,policy_complaint,negative,"Failed to meet basic expectations, disappointed"
i absolutely love how complaint works for me,complaint,positive,express_appreciation,positive,Expressing appreciation for a service
id like to understand more about financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,User wants to learn more about financial inquiries
